year,city_0,city_1
2024,246799,101191
2025,246979,100548
2026,247002,99855
2027,246874,99122
2028,246594,98357
2029,246171,97570
2030,245607,96767
2031,244917,95963
2032,244109,95165
2033,243178,94374
2034,242129,93596
2035,240966,92835
2036,239686,92093
2037,238295,91370
2038,236793,90667
2039,235183,89985
2040,233473,89321
2041,231660,88668
2042,229758,88028
2043,227769,87396
2044,225698,86768
2045,223550,86144
2046,221330,85517
2047,219047,84885
2048,216699,84247
2049,214303,83603
2050,211861,82951
2051,209365,82272
2052,206827,81582
2053,204242,80877
2054,201617,80165
2055,198963,79444
2056,196284,78724
2057,193595,78004
2058,190899,77288
2059,188198,76584
2060,185511,75902
2061,182838,75243
2062,180193,74598
2063,177561,73958
2064,174934,73331
2065,172340,72730
2066,169779,72155
2067,167252,71604
2068,164761,71075
2069,162291,70557
2070,159842,70057
2071,157413,69569
2072,155009,69097
2073,152634,68639
2074,150291,68196
2075,147981,67769
2076,145708,67354
2077,143470,66951
2078,141259,66560
2079,139078,66177
2080,136936,65803
2081,134841,65442
2082,132795,65096
2083,130795,64762
2084,128863,64444
2085,126997,64142
2086,125188,63856
2087,123428,63582
2088,121713,63316
2089,120043,63060
2090,118417,62809
2091,116834,62561
2092,115300,62328
2093,113802,62103
2094,112330,61879
2095,110880,61662
2096,109449,61453
2097,108037,61254
2098,106638,61058
2099,105253,60862
2100,103878,60662
